,log_GrLivArea,log_LotArea,log_MasVnrArea,bc_LotArea,yeo_TotalBsmtSF,yeo_GarageArea,log_WoodDeckSF,log_OpenPorchSF,log_price,log_first_FlrSF,OverallQual,OverallCond,BsmtFinSF1,YearBuilt,YearRemodAdd,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces
0,7.444248649496705,9.041921720351219,5.2832037287379885,10.433679590956288,198.28429467893727,204.5179145289512,0.0,4.127134385045092,12.247694320220994,6.752270376141742,7,5,706,2003,2003,1,0,2,1,3,1,8,0
1,7.140453043101158,9.169518377455928,0.0,10.60280884913602,264.6011447467822,177.32963582817308,5.700443573390687,0.0,12.109010932687042,7.140453043101158,6,8,978,1976,1976,0,1,2,0,3,1,6,1
2,7.487733761436444,9.328123407632566,5.093750200806762,10.813972813430135,209.20678646616216,222.5797332201641,0.0,3.7612001156935624,12.31716669303576,6.824373670043086,7,5,486,2001,2002,1,0,2,1,3,1,6,1
3,7.448333860897476,9.164296433474776,0.0,10.595874052641216,180.7799299950887,232.66436238253502,0.0,3.58351893845611,11.84939770159144,6.8679744089702925,7,5,216,1915,1970,1,0,1,0,3,1,7,1
4,7.6953031349635665,9.565213693968287,5.860786223465865,11.131569662032717,246.1507759175426,288.45199169728835,5.262690188904886,4.442651256490317,12.429216196844383,7.0431599159883405,8,5,655,2000,2000,1,0,2,1,4,1,9,1
5,7.216709486709457,9.55499334068759,0.0,11.117830763894961,187.84985781491872,183.58894020794867,3.713572066704308,3.4339872044851463,11.870599909242044,6.679599185844383,5,5,732,1993,1995,1,0,1,1,1,1,5,0
6,7.434847875211999,9.218705288307811,5.231108616854587,10.668184605147864,328.09212266473514,230.89218309811795,5.545177444479562,4.060443010546419,12.634603026569334,7.434847875211999,8,5,1369,2004,2005,1,0,2,0,3,1,7,1
7,7.644919344958857,9.247828816387175,5.484796933490655,10.706940464656716,240.05436106019934,184.8348505375304,5.4638318050256105,5.3230099791384085,12.206072645530174,7.009408932708637,7,6,859,1973,1973,1,0,2,1,3,1,7,2
8,7.480992162869525,8.719317375506371,0.0,10.009034729917122,214.59346343481334,179.83938806030002,4.51085950651685,0.0,11.77452020265869,6.92951677076365,7,5,0,1931,1950,0,0,2,0,2,2,8,2
9,6.981934677156389,8.911934336161426,0.0,10.262066773289913,221.0952505940534,91.66063659158512,0.0,1.6094379124341003,11.678439903447801,6.981934677156389,5,6,851,1939,1950,1,0,1,0,2,2,5,2
